track_id,image_path,lp,train
./crop_m1/I00000.png,./crop_m1/I00000.png,9B52145,0
./crop_m1/I00000.png,./crop_h1/I00000.png,9B52145,0
./crop_m1/I00001.png,./crop_m1/I00001.png,6B94558,0
./crop_m1/I00001.png,./crop_h1/I00001.png,6B94558,0
./crop_m1/I00002.png,./crop_m1/I00002.png,8B90164,0
./crop_m1/I00002.png,./crop_h1/I00002.png,8B90164,0
./crop_m1/I00003.png,./crop_m1/I00003.png,5B11181,0
./crop_m1/I00003.png,./crop_h1/I00003.png,5B11181,0
./crop_m1/I00004.png,./crop_m1/I00004.png,8B79697,0
./crop_m1/I00004.png,./crop_h1/I00004.png,8B79697,0
./crop_m1/I00005.png,./crop_m1/I00005.png,8B90164,0
./crop_m1/I00005.png,./crop_h1/I00005.png,8B90164,0
./crop_m1/I00006.png,./crop_m1/I00006.png,5B11181,0
./crop_m1/I00006.png,./crop_h1/I00006.png,5B11181,0
./crop_m1/I00007.png,./crop_m1/I00007.png,5Z40181,0
./crop_m1/I00007.png,./crop_h1/I00007.png,5Z40181,0
./crop_m1/I00008.png,./crop_m1/I00008.png,2B20174,0
./crop_m1/I00008.png,./crop_h1/I00008.png,2B20174,0
./crop_m1/I00009.png,./crop_m1/I00009.png,1B76462,0
./crop_m1/I00009.png,./crop_h1/I00009.png,1B76462,0
./crop_m1/I00010.png,./crop_m1/I00010.png,BVJ6411,0
./crop_m1/I00010.png,./crop_h1/I00010.png,BVJ6411,0
./crop_m1/I00011.png,./crop_m1/I00011.png,8B79697,0
./crop_m1/I00011.png,./crop_h1/I00011.png,8B79697,0
./crop_m1/I00012.png,./crop_m1/I00012.png,BVJ6411,0
./crop_m1/I00012.png,./crop_h1/I00012.png,BVJ6411,0
./crop_m1/I00013.png,./crop_m1/I00013.png,1B94686,0
./crop_m1/I00013.png,./crop_h1/I00013.png,1B94686,0
./crop_m1/I00014.png,./crop_m1/I00014.png,4B83940,0
./crop_m1/I00014.png,./crop_h1/I00014.png,4B83940,0
./crop_m1/I00015.png,./crop_m1/I00015.png,4B83940,0
./crop_m1/I00015.png,./crop_h1/I00015.png,4B83940,0
./crop_m1/I00016.png,./crop_m1/I00016.png,4B27433,0
./crop_m1/I00016.png,./crop_h1/I00016.png,4B27433,0
./crop_m1/I00017.png,./crop_m1/I00017.png,5B29737,0
./crop_m1/I00017.png,./crop_h1/I00017.png,5B29737,0
./crop_m1/I00018.png,./crop_m1/I00018.png,8B88391,0
./crop_m1/I00018.png,./crop_h1/I00018.png,8B88391,0
./crop_m1/I00019.png,./crop_m1/I00019.png,5B28893,0
./crop_m1/I00019.png,./crop_h1/I00019.png,5B28893,0
./crop_m2/I00000.png,./crop_m2/I00000.png,5C48306,0
./crop_m2/I00000.png,./crop_h2/I00000.png,5C48306,0
./crop_m2/I00001.png,./crop_m2/I00001.png,3B38140,0
./crop_m2/I00001.png,./crop_h2/I00001.png,3B38140,0
./crop_m2/I00002.png,./crop_m2/I00002.png,4B10036,0
./crop_m2/I00002.png,./crop_h2/I00002.png,4B10036,0
./crop_m2/I00003.png,./crop_m2/I00003.png,1BD0673,0
./crop_m2/I00003.png,./crop_h2/I00003.png,1BD0673,0
./crop_m2/I00004.png,./crop_m2/I00004.png,4B50811,0
./crop_m2/I00004.png,./crop_h2/I00004.png,4B50811,0
./crop_m2/I00005.png,./crop_m2/I00005.png,6B51255,0
./crop_m2/I00005.png,./crop_h2/I00005.png,6B51255,0
./crop_m2/I00006.png,./crop_m2/I00006.png,4B02466,0
./crop_m2/I00006.png,./crop_h2/I00006.png,4B02466,0
./crop_m2/I00007.png,./crop_m2/I00007.png,5C65578,0
./crop_m2/I00007.png,./crop_h2/I00007.png,5C65578,0
./crop_m2/I00008.png,./crop_m2/I00008.png,BZD1223,0
./crop_m2/I00008.png,./crop_h2/I00008.png,BZD1223,0
./crop_m2/I00009.png,./crop_m2/I00009.png,ZNE2393,0
./crop_m2/I00009.png,./crop_h2/I00009.png,ZNE2393,0
./crop_m2/I00010.png,./crop_m2/I00010.png,8B02173,0
./crop_m2/I00010.png,./crop_h2/I00010.png,8B02173,0
./crop_m2/I00011.png,./crop_m2/I00011.png,7B10307,0
./crop_m2/I00011.png,./crop_h2/I00011.png,7B10307,0
./crop_m2/I00012.png,./crop_m2/I00012.png,9B60464,0
./crop_m2/I00012.png,./crop_h2/I00012.png,9B60464,0
./crop_m2/I00013.png,./crop_m2/I00013.png,7B91102,0
./crop_m2/I00013.png,./crop_h2/I00013.png,7B91102,0
./crop_m2/I00014.png,./crop_m2/I00014.png,1AT5828,0
./crop_m2/I00014.png,./crop_h2/I00014.png,1AT5828,0
./crop_m2/I00015.png,./crop_m2/I00015.png,7B14349,0
./crop_m2/I00015.png,./crop_h2/I00015.png,7B14349,0
./crop_m2/I00016.png,./crop_m2/I00016.png,4M98681,0
./crop_m2/I00016.png,./crop_h2/I00016.png,4M98681,0
./crop_m2/I00017.png,./crop_m2/I00017.png,2B17515,0
./crop_m2/I00017.png,./crop_h2/I00017.png,2B17515,0
./crop_m2/I00018.png,./crop_m2/I00018.png,BZH8389,0
./crop_m2/I00018.png,./crop_h2/I00018.png,BZH8389,0
./crop_m2/I00019.png,./crop_m2/I00019.png,9B38368,0
./crop_m2/I00019.png,./crop_h2/I00019.png,9B38368,0
./crop_m2/I00020.png,./crop_m2/I00020.png,8B71401,0
./crop_m2/I00020.png,./crop_h2/I00020.png,8B71401,0
./crop_m2/I00021.png,./crop_m2/I00021.png,4B20737,0
./crop_m2/I00021.png,./crop_h2/I00021.png,4B20737,0
./crop_m2/I00022.png,./crop_m2/I00022.png,3B04082,0
./crop_m2/I00022.png,./crop_h2/I00022.png,3B04082,0
./crop_m2/I00023.png,./crop_m2/I00023.png,1J24813,0
./crop_m2/I00023.png,./crop_h2/I00023.png,1J24813,0
